no,분류,중복,Institution,Title,저자,Year,Pdf Link
1,Periodical,0,Seoul National University,2D and 3D Finite Element Method Packages of CEMTool for Engineering PDE Problems,"Choon Ki Ahn, Jung Hun Park, and Wook Hyun Kwon",2007,https://waset.org/publications/10964/2d-and-3d-finite-element-method-packages-of-cemtool-for-engineering-pde-problems
2,Abstract,0,Seoul National University,A 3-Dimensional Memory-Based Model for Planning Working Postures Reaching Specific Area with Postural Constraints,"Minho Lee,Donghyun Back,Jaemoon Jung,Woojin Park",2016,https://waset.org/pdf/books/?id=52549&pageNumber=830
3,Abstract,1,Seoul National University,A Framework for Designing Complex Product-Service Systems with a Multi-Domain Matrix,"Yoonjung An,Yongtae Park",2015,https://waset.org/pdf/books/?id=26766&pageNumber=409
4,Periodical,0,Seoul National University,A Framework for Designing Complex Product-Service Systems with a Multi-Domain Matrix,"Yoonjung An,Yongtae Park",2015,https://waset.org/publications/10000960/a-framework-for-designing-complex-product-service-systems-with-a-multi-domain-matrix
5,Abstract,0,Seoul National University,A Literature Review of Ergonomics Sitting Studies to Characterize Safe and Unsafe Sitting Behaviors,"Yoonjin Lee,Dongwook Hwang,Juhee Park,Woojin Park",2016,https://waset.org/pdf/books/?id=52542&pageNumber=829
6,Abstract,0,Seoul National University,A New Direction of Urban Regeneration: Form-Based Urban Reconstruction through the Idea of Bricolage,"Hyejin Song,Jin Baek",2015,https://waset.org/pdf/books/?id=49942&pageNumber=428
7,Abstract,0,Seoul National University,A Review of In-Vehicle Network for Cloud Connected Vehicle,"Hanbhin Ryu,Ilkwon Yun",2015,https://waset.org/pdf/books/?id=21239&pageNumber=695
8,Periodical,0,Seoul National University,A Review on Technology Forecasting Methods and Their Application Area,"Daekook Kang, Wooseok Jang, Hyeonjeong Lee, and Hyun Joung No",2013,https://waset.org/publications/2934/a-review-on-technology-forecasting-methods-and-their-application-area
9,Abstract,0,Seoul National University,A Strategic Approach for Promoting Renewable Energy Technologies in Developing Countries,Hanee Ryu,2015,https://waset.org/pdf/books/?id=34233&pageNumber=430
10,Abstract,1,Seoul National University,A Study of Mode Choice Model Improvement Considering Age Grouping,"Young-Hyun Seo,Hyunwoo Park,Dong-Kyu Kim,Seung-Young Kho",2017,https://waset.org/pdf/books/?id=69640&pageNumber=253
11,Periodical,0,Seoul National University,A Study of Mode Choice Model Improvement Considering Age Grouping,"Young-Hyun Seo,Hyunwoo Park,Dong-Kyu Kim,Seung-Young Kho",2017,https://waset.org/publications/10007349/a-study-of-mode-choice-model-improvement-considering-age-grouping
12,Abstract,0,Seoul National University,A Study on Bicycle Riding Behavior on Bike-Only Road,"Hyeon Jong Yoo,Jae Hwan Yang,Dong Kyu Kim",2018,https://waset.org/pdf/books/?id=80506&pageNumber=309
13,Abstract,0,Seoul National University,A Study on the Effect of Socioeconomic Status on Adolescents' Health Promoting Behaviors: Mediating Effect of Family-Based Activity,"Sue Lynn Kim,Sang-Gyun Lee,Joan P. Yoo",2015,https://waset.org/pdf/books/?id=30023&pageNumber=820
14,Abstract,0,Seoul National University,Adjustable Aperture with Liquid Crystal for Real-Time Range Sensor,"Yumee Kim,Seung-Guk Hyeon,Kukjin Chun",2017,https://waset.org/pdf/books/?id=68963&pageNumber=1583
15,Abstract,0,Seoul National University,An Agent-Based Model of Innovation Diffusion Using Heterogeneous Social Interaction and Preference,"Jang kyun Cho,Jeong-dong Lee",2015,https://waset.org/pdf/books/?id=32112&pageNumber=908
16,Abstract,0,Seoul National University,An Analysis of Transition in Building Form from Abolition of Diagonal Plane Control by Street Width: Focusing on Site Plan and Urban Block,"Joohyun Park,Jin Baek",2014,https://waset.org/pdf/books/?id=49935&pageNumber=427
17,Abstract,0,Seoul National University,Anthropomorphism in the Primate Mind-Reading Debate: A Critique of Sober's Justification Argument,Boyun Lee,2018,https://waset.org/pdf/books/?id=89524&pageNumber=2963
18,Abstract,0,Seoul National University,"Anti-Prostate Cancer Effect of GV-1001, a Novel Gonadotropin-Releasing Hormone Receptor Ligand","Ji Won Kim,Moo Yeol Lee,Keon Wook Kang",2015,https://waset.org/pdf/books/?id=22012&pageNumber=375
19,Abstract,1,Seoul National University,Application of Data Mining Techniques for Tourism Knowledge Discovery,"Teklu Urgessa,Wookjae Maeng,Joong Seek Lee",2017,https://waset.org/pdf/books/?id=59419&pageNumber=1716
20,Periodical,0,Seoul National University,Application of Data Mining Techniques for Tourism Knowledge Discovery,"Teklu Urgessa,Wookjae Maeng,Joong Seek Lee",2017,https://waset.org/publications/10006636/application-of-data-mining-techniques-for-tourism-knowledge-discovery
