범죄분류,불교,기독교,천주교,원불교,천도교,기타 종교,종교무,미상
절도,10545,14687,3816,44,54,1481,65270,10759
장물,300,335,72,3,2,37,2002,380
사기,15008,16591,4249,81,105,2353,69366,115369
횡령,2585,3186,925,16,12,409,12975,16207
배임,564,434,133,3,1,86,1816,7032
손괴,3964,3853,1212,27,27,448,19767,6187
살인,109,89,22,0,0,23,526,217
강도,126,154,42,0,1,49,950,175
방화,132,161,50,1,0,26,741,152
성폭력,2527,4331,1130,8,24,597,17883,6337
폭행,15216,15674,4595,89,99,2228,82539,108559
상해,10015,8413,2346,38,41,1309,44445,7508
협박,1698,1644,504,7,6,218,8211,5175
공갈,420,539,157,3,2,76,2800,1530
약취와 유인,15,36,14,0,0,6,125,103
체포와 감금,167,254,59,2,0,27,1128,1134
"폭력행위등(손괴,강요,주거침입등)",230,355,75,3,4,96,1375,849
폭력행위 등(단체 등의 구성ㆍ활동),77,56,11,0,0,36,348,90
통화,8,60,2,0,0,4,66,423
유가증권ㆍ인지ㆍ우표,18,56,13,0,1,1,73,244
문서,968,1220,374,3,10,197,4938,10259
인장,56,65,13,0,0,11,231,225
직무유기,10,18,6,2,0,3,89,1935
직권남용,17,17,8,0,0,6,100,2027
수뢰,87,83,31,1,1,27,391,636
증뢰,69,22,7,0,0,3,197,368
도박과 복표,3755,1948,623,14,12,327,15078,2161
신앙,26,62,6,0,0,2,80,350
기타 음란행위,224,394,81,2,2,41,1519,234
과실치사상,224,225,84,0,0,28,958,1147
업무상 과실치사상,538,508,171,2,2,61,2521,1638
실화,289,249,73,5,1,41,1295,124
명예,2167,2443,826,11,18,268,9445,17333
권리행사 방해,755,665,183,4,3,87,3242,8317
신용업무 경매,3078,3051,881,14,16,458,13611,8200
주거 침입,1099,1254,361,6,8,154,5310,2853
비밀침해,2,5,2,0,0,2,20,86
유기,11,42,13,0,0,5,86,90
교통방해,210,132,47,0,1,31,651,663
공무방해,1840,1717,496,10,16,325,9112,1290
도주와 범인 은닉,41,52,9,1,0,33,417,427
위증과 증거인멸,123,104,30,0,1,19,359,3787
무고,162,178,43,1,0,24,578,5989
공안을 해하는 죄,10,38,4,0,0,1,101,105
내란의 죄,0,0,0,0,0,0,0,42
음용수에 관한 죄,2,1,0,0,0,0,3,18
일수와 수리에 관한 죄,0,1,1,0,0,0,3,2
기타,2,3,2,0,0,0,34,33
가정폭력범죄의 처벌 등에 관한 특례법,23,18,9,0,0,5,106,31
가축분뇨의관리및이용에관한법률,123,101,25,1,0,10,344,297
감염병의예방및관리에관한법률,39,25,9,0,0,1,125,20
개발제한구역의 지정 및 관리에 관한 특별조치법,231,179,55,1,0,12,621,492
개인정보보호법,107,92,47,0,2,39,480,1098
건강기능식품에관한법률,85,142,48,0,1,7,342,263
건설기계 관리법,121,65,14,0,1,37,401,131
건설산업 기본법,565,682,234,11,4,67,3240,691
건축법,833,850,291,9,3,84,2488,1200
게임산업진흥에관한법률,1183,1061,348,5,5,95,5547,1634
결혼중개업의관리에관한법률,17,24,4,0,0,0,31,47
경범죄처벌법,811,747,216,1,3,101,3888,832
고용보험법,504,412,140,0,5,225,2410,385
공유수면관리및매립에관한법률,83,27,17,0,0,3,126,51
공유재산및물품관리법,38,24,5,0,1,2,53,73
공인중개사법,191,176,67,0,1,19,451,681
